id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
oW2PgLgibBGo1bSVWW4tRw,green-house-cafe-singapore,Green House Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/rC3cpm2kjUal_1ipEcRLxg/o.jpg,False,https://www.yelp.com/biz/green-house-cafe-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,['cafes'],4.0,"[1.3157901, 103.6317215]",[],30 Tuas Bay Drive,+6568630110,+65 6863 0110,697.8972839141956,
p7o1QXgRLBmba8qDb7h6DA,hong-kiat-seafood-restaurant-singapore,Hong Kiat Seafood Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/tx6zr-oVF4oixaw0XMiXRA/o.jpg,False,https://www.yelp.com/biz/hong-kiat-seafood-restaurant-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,['seafood'],3.0,"[1.37659, 103.74383]",[],216 Choa Chu Kang Ave 1,+6567630304,+65 6763 0304,2421.592732920778,
5Z0DVwlOtra6CSx_HWf04Q,d-life-singapore,D'life,https://s3-media1.fl.yelpcdn.com/bphoto/y78xmOwqE_jO-prqpu9-EA/o.jpg,False,https://www.yelp.com/biz/d-life-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,"['vegetarian', 'vegan']",4.0,"[1.35158559744581, 103.725560232997]",[],428 Jurong West Ave 1,+6564250128,+65 6425 0128,1233.182057291689,
MkGYR-ijzg2lpVK_nkemQg,81-seafood-restaurant-singapore,81 Seafood Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/bG7nKIWUEsWu9Zqw762TYw/o.jpg,False,https://www.yelp.com/biz/81-seafood-restaurant-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,"['chinese', 'seafood']",5.0,"[1.35396738628329, 103.72263498477]",[],404 Jurong West St 42,+6590722049,+65 9072 2049,1089.4383183681243,
x4cC5VI54ZnOrkMy3Zk5xw,he-jia-huan-ban-mian-mee-hoon-kway-singapore,He Jia Huan Ban Mian Mee Hoon Kway,https://s3-media2.fl.yelpcdn.com/bphoto/W0-ea3hTmCKvdPZsEICkZw/o.jpg,False,https://www.yelp.com/biz/he-jia-huan-ban-mian-mee-hoon-kway-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,['food_court'],5.0,"[1.35013, 103.72386]",[],496 Jurong West St 41,,,1449.778575774902,
SNEjk2sdBwZjTcP1fctyIQ,pho-lee-hung-singapore,Pho Lee Hung,https://s3-media1.fl.yelpcdn.com/bphoto/6M9rIEHRn6FRL1CeVSGLyw/o.jpg,False,https://www.yelp.com/biz/pho-lee-hung-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,2,"['vietnamese', 'streetvendors']",4.5,"[1.34502237329102, 103.730960525572]",[],Blk 345 Jurong East Avenue 1,,,1985.058593648112,
5vQAz1NUk4AvQeuagZJ4yw,jurong-west-hotplate-bbq-singapore,Jurong West Hotplate BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/AYZdzSQH5Y2HR_PZzwv-bw/o.jpg,False,https://www.yelp.com/biz/jurong-west-hotplate-bbq-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,['seafood'],5.0,"[1.34793683729921, 103.717112320236]",[],526 Jurong West Street 52,,,1985.3146825467757,
iM5PSEIv9XRVxxaLcbc-VQ,epic-bistro-singapore,Epic Bistro,https://s3-media4.fl.yelpcdn.com/bphoto/qY_C_EjepxPh7gf_FROtug/o.jpg,False,https://www.yelp.com/biz/epic-bistro-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,['pizza'],4.0,"[1.35222277995173, 103.727073669434]",[],200 Jurong East Avenue 1,+6565671418,+65 6567 1418,1145.5704291613863,
L9SFZYVNz_fYJz0kgYCvGQ,hao-ji-handmade-pau-singapore,Hao Ji Handmade Pau,https://s3-media2.fl.yelpcdn.com/bphoto/KA5fvcF8NFPC7SYar4K1fw/o.jpg,False,https://www.yelp.com/biz/hao-ji-handmade-pau-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,2,['streetvendors'],4.5,"[1.34969, 103.7184219]",[],505 Jurong West Street 52,,,1748.0252052206122,
eSviUj7sAsw_x2XsM799Dg,heng-heng-cooked-food-singapore,Heng Heng Cooked Food,https://s3-media2.fl.yelpcdn.com/bphoto/jK0SOQwtJZt9jGPxPQg48Q/o.jpg,False,https://www.yelp.com/biz/heng-heng-cooked-food-singapore?adjust_creative=8NwQQZhYOk3Lk3HY1sDUfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8NwQQZhYOk3Lk3HY1sDUfA,1,['streetvendors'],4.0,"[1.34969, 103.7184219]",[],Blk 505 Jurong West Street 52,,,1748.0252052206122,
